id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1253065855241523203,1253065384028262401,1587589155000,2020-04-22,16:59:15,Eastern Daylight Time,123910147,simplifiedsy,Simon Park,,That stance gave me corona.,['zeroblog30'],[],[],0,0,2,[],[],https://twitter.com/SimplifiedSy/status/1253065855241523203,False,,0,DC,,,,,,"[{'user_id': '123910147', 'username': 'SimplifiedSy'}, {'user_id': '789499813498916864', 'username': 'ZeroBlog30'}]",,,,
1253065818688163841,1253065818688163841,1587589146000,2020-04-22,16:59:06,Eastern Daylight Time,2842316109,anthoward92,Anthony Ryan Howard,,"Ah yes, the ole $25M Kennedy Center and reduction of carbon emissions by 2050! So much in need! @SpeakerPelosi #democrats #COVID #corona #USA https://twitter.com/thedemocrats/status/1253059251574095872 …",['speakerpelosi'],['https://twitter.com/thedemocrats/status/1253059251574095872'],[],0,0,0,"['#democrats', '#covid', '#corona', '#usa']",[],https://twitter.com/AntHoward92/status/1253065818688163841,False,https://twitter.com/TheDemocrats/status/1253059251574095872,0,DC,,,,,,"[{'user_id': '2842316109', 'username': 'AntHoward92'}, {'user_id': '15764644', 'username': 'SpeakerPelosi'}]",,,,
1253065663892996096,1253046244794040320,1587589109000,2020-04-22,16:58:29,Eastern Daylight Time,22675317,irvmuch,Irvin Muchnick,,"Reduced by corona, are we, to passive-aggressive sniping over control of the remote?","['dpd_', 'jacobschneider']",[],[],0,0,2,[],[],https://twitter.com/irvmuch/status/1253065663892996096,False,,0,DC,,,,,,"[{'user_id': '22675317', 'username': 'irvmuch'}, {'user_id': '154713841', 'username': 'DPD_'}, {'user_id': '15265763', 'username': 'jacobschneider'}]",,,,
1253065408757858304,1253065408757858304,1587589048000,2020-04-22,16:57:28,Eastern Daylight Time,1222581625,levitt_matt,Matthew Levitt,,Corona in the Casbah: The Pandemic’s Destabilizing Impact on Algeria @sjfeuer @WashInstitute https://washin.st/2S1r83v ,"['sjfeuer', 'washinstitute']",['https://washin.st/2S1r83v'],[],0,1,1,[],[],https://twitter.com/Levitt_Matt/status/1253065408757858304,False,,0,DC,,,,,,"[{'user_id': '1222581625', 'username': 'Levitt_Matt'}, {'user_id': '2797964118', 'username': 'sjfeuer'}, {'user_id': '22947474', 'username': 'WashInstitute'}]",,,,
1253065308132302850,1253037065895325696,1587589024000,2020-04-22,16:57:04,Eastern Daylight Time,2418276859,itshazezeus,Haze Zeus,,"Local hospital went from half of a floor filled with Corona patients last week to three floors full as of last night. 

I want to have hope for humanity, but it's people like Annie that make me wonder why I bother....","['birnbaummatt', 'askerrysmile', 'atrupar']",[],[],0,1,17,[],[],https://twitter.com/ItsHazeZeus/status/1253065308132302850,False,,0,DC,,,,,,"[{'user_id': '2418276859', 'username': 'ItsHazeZeus'}, {'user_id': '505454704', 'username': 'BirnbaumMatt'}, {'user_id': '1079528745503985664', 'username': 'askerrysmile'}, {'user_id': '288277167', 'username': 'atrupar'}]",,,,
1253065215849226246,1252761020663099392,1587589002000,2020-04-22,16:56:42,Eastern Daylight Time,538536609,lexivalenta,alexi,,"Hi, I just rescued this guy Sunday and he’s not doing well.I’m extremely worried. I lost my job due to corona and was denied unemployment. I’m going to have a hefty vet bill on my hands I think. If you could help, I would really appreciate it. He’s been through too much already😭  pic.twitter.com/6sYGAYFNBO",['jeffreestar'],[],['https://pbs.twimg.com/media/EWPIK7RX0AA4Atr.jpg'],1,0,0,[],[],https://twitter.com/lexivalenta/status/1253065215849226246,False,,0,DC,,,,,,"[{'user_id': '538536609', 'username': 'lexivalenta'}, {'user_id': '18236230', 'username': 'JeffreeStar'}]",,,,
1253065066255024128,1252798529107562498,1587588967000,2020-04-22,16:56:07,Eastern Daylight Time,936031344508858368,marisbellamy1,Maris Bellamy,,"Oh, good, I'm so glad, I was afraid with all the Corona craziness going on it got lost in the shuffle. And you are so welcome too.","['missytheb', 'tinkertoy5', 'walkandwatch', 'lynda3035', 'vroberts9', 'tonithecat32', 'sharon_cantley', 'bloomnight2', 'gordonharmony', 'donnaleethomps8', 'marina935home', 'toughguymankas', 'palmolive_s_pan', 'mhmelbourne', 'dragonjewls']",[],[],1,1,7,[],[],https://twitter.com/marisbellamy1/status/1253065066255024128,False,,0,DC,,,,,,"[{'user_id': '936031344508858368', 'username': 'marisbellamy1'}, {'user_id': '970984249946816514', 'username': 'MissytheB'}, {'user_id': '2928885465', 'username': 'tinkertoy5'}, {'user_id': '1153458168', 'username': 'WalkandWatch'}, {'user_id': '894338898486099969', 'username': 'lynda3035'}, {'user_id': '345914996', 'username': 'vroberts9'}, {'user_id': '3172034438', 'username': 'Tonithecat32'}, {'user_id': '885904020988207104', 'username': 'sharon_cantley'}, {'user_id': '820116712250978305', 'username': 'BloomNight2'}, {'user_id': '2233182751', 'username': 'GordonHarmony'}, {'user_id': '945798219660849152', 'username': 'DonnaLeeThomps8'}, {'user_id': '838421340294111237', 'username': 'Marina935home'}, {'user_id': '1039886009264234501', 'username': 'ToughGuyMankas'}, {'user_id': '774051477329440768', 'username': 'Palmolive_S_Pan'}, {'user_id': '442881804', 'username': 'mhmelbourne'}, {'user_id': '1525168716', 'username': 'dragonjewls'}]",,,,
1253065048836247554,1253065048836247554,1587588963000,2020-04-22,16:56:03,Eastern Daylight Time,15050506,techgirlangie,Angie de Guzman,,"When you are trying to work from home..... #englishbulldogsofinstagram #englishbulldog #teachathome #onlinelearning #corona @ Hampstead, Maryland  https://www.instagram.com/p/B_TB3rbl6wRSZNdjpQU4sYM_kSF5Ub7Ksietps0/?igshid=18gse1j201gmd …",[],['https://www.instagram.com/p/B_TB3rbl6wRSZNdjpQU4sYM_kSF5Ub7Ksietps0/?igshid=18gse1j201gmd'],[],0,0,0,"['#englishbulldogsofinstagram', '#englishbulldog', '#teachathome', '#onlinelearning', '#corona']",[],https://twitter.com/techgirlangie/status/1253065048836247554,False,,0,DC,,,,,,"[{'user_id': '15050506', 'username': 'techgirlangie'}]",,,,
1253064952744538112,1253064952744538112,1587588940000,2020-04-22,16:55:40,Eastern Daylight Time,1022531234172268546,marisapwhite1,Mama Bear in the Quarantine Cave,,Great!  Now the animal shelters are going to get flooded with animals because the Sheep are scared.  Are they SURE it's Covid-19 or Feline Corona virus?  They are 2 different strains.,[],[],[],0,0,0,[],[],https://twitter.com/MarisaPWhite1/status/1253064952744538112,False,,0,DC,,,,,,"[{'user_id': '1022531234172268546', 'username': 'MarisaPWhite1'}]",,,,
1253064676839129088,1253032496071151616,1587588874000,2020-04-22,16:54:34,Eastern Daylight Time,190099219,afro_fresh26,Tshisa_Mfana 👑🇿🇼,,I think this is was helpful to most of us since corona is the US started during flu season  pic.twitter.com/SJW2WOsQTu,['nolsss__'],[],['https://pbs.twimg.com/media/EWPHrbLXgAAgZyZ.jpg'],0,0,0,[],[],https://twitter.com/afro_fresh26/status/1253064676839129088,False,,0,DC,,,,,,"[{'user_id': '190099219', 'username': 'afro_fresh26'}, {'user_id': '816242139566837761', 'username': 'Nolsss__'}]",,,,
1253064522816008192,1253064522816008192,1587588837000,2020-04-22,16:53:57,Eastern Daylight Time,84549487,sarthakkawatra5,Sarthak kawatra,,"So in corona season is it allowed to get sick by any other means or Every time you feel something have to think constantly no you have corona.

It's highly frustrating to live alone in these times when you have no choice but have to go outside once in two days.
#fuckmentaalhealth",[],[],[],0,0,1,['#fuckmentaalhealth'],[],https://twitter.com/SarthaKKawatra5/status/1253064522816008192,False,,0,DC,,,,,,"[{'user_id': '84549487', 'username': 'SarthaKKawatra5'}]",,,,
1253064390393421825,1253064390393421825,1587588806000,2020-04-22,16:53:26,Eastern Daylight Time,211523586,asiachloebrown,Asia 🌿,,A February 6 *death* likely means a mid-January infection date. Corona has been here. At what scale can we test people who are buried? Is that a thing? (Hope I don't sound dumb but I'm truly curious.)  https://twitter.com/latimes/status/1252817269740072963 …,[],['https://twitter.com/latimes/status/1252817269740072963'],[],4,27,71,[],[],https://twitter.com/AsiaChloeBrown/status/1253064390393421825,False,https://twitter.com/latimes/status/1252817269740072963,0,DC,,,,,,"[{'user_id': '211523586', 'username': 'AsiaChloeBrown'}]",,,,
